Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
L. Messi,Lionel Messi,91,54000000,RW,CAM,Argentina,35,Paris Saint-Germain
K. Benzema,Karim Benzema,91,64000000,"CF,ST",CF,France,34,Real Madrid CF
R. Lewandowski,Robert Lewandowski,91,84000000,ST,ST,Poland,33,FC Barcelona
K. De Bruyne,Kevin De Bruyne,91,107500000,"CM,CAM",CM,Belgium,31,Manchester City
K. Mbappé,Kylian Mbappé,91,190500000,"ST,LW",ST,France,23,Paris Saint-Germain
M. Salah,Mohamed Salah,90,115500000,RW,RW,Egypt,30,Liverpool
T. Courtois,Thibaut Courtois,90,90000000,GK,GK,Belgium,30,Real Madrid CF
M. Neuer,Manuel Neuer,90,13500000,GK,GK,Germany,36,FC Bayern München
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,41000000,ST,ST,Portugal,37,Manchester United
V. van Dijk,Virgil van Dijk,90,98000000,CB,CB,Netherlands,30,Liverpool
H. Kane,Harry Kane,89,105500000,ST,ST,England,28,Tottenham Hotspur
Neymar Jr,Neymar da Silva Santos Jr.,89,99500000,LW,LW,Brazil,30,Paris Saint-Germain
H. Son,Heung Min Son,89,101000000,"LW,LM",LW,Korea Republic,29,Tottenham Hotspur
Casemiro,Carlos Henrique Venancio Casimiro,89,86000000,CDM,CDM,Brazil,30,Manchester United
J. Oblak,Jan Oblak,89,85500000,GK,GK,Slovenia,29,Atlético de Madrid
S. Mané,Sadio Mané,89,99500000,"LM,CF",LM,Senegal,30,FC Bayern München
Ederson,Ederson Santana de Moraes,89,88000000,GK,GK,Brazil,28,Manchester City
J. Kimmich,Joshua Kimmich,89,105500000,"CDM,RB",CDM,Germany,27,FC Bayern München
Alisson,Alisson Ramses Becker,89,79000000,GK,GK,Brazil,29,Liverpool
N. Kanté,N'Golo Kanté,89,72000000,"CDM,CM",CDM,France,31,Chelsea
Rúben Dias,Rúben Santos Gato Alves Dias,88,107500000,CB,CB,Portugal,25,Manchester City
E. Haaland,Erling Haaland,88,148000000,ST,ST,Norway,21,Manchester City
G. Donnarumma,Gianluigi Donnarumma,88,103500000,GK,GK,Italy,23,Paris Saint-Germain
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,97500000,"CAM,CM",CAM,Portugal,27,Manchester City
João Cancelo,João Pedro Cavaco Cancelo,88,82500000,"LB,RB",LB,Portugal,28,Manchester City
Marquinhos,Marcos Aoás Corrêa,88,92000000,CB,CB,Brazil,28,Paris Saint-Germain
K. Navas,Keylor Navas,88,10000000,GK,GK,Costa Rica,35,Paris Saint-Germain
M. ter Stegen,Marc-André ter Stegen,88,68500000,GK,GK,Germany,30,FC Barcelona
T. Kroos,Toni Kroos,88,72000000,CM,CM,Germany,32,Real Madrid CF
L. Modrić,Luka Modrić,88,29000000,CM,CM,Croatia,36,Real Madrid CF
A. Rüdiger,Antonio Rüdiger,87,73500000,CB,CB,Germany,29,Real Madrid CF
Rodri,Rodrigo Hernández Cascante,87,88500000,CDM,CDM,Spain,26,Manchester City
Fabinho,Fábio Henrique Tavares,87,77000000,"CDM,CB",CDM,Brazil,28,Liverpool
H. Lloris,Hugo Lloris,87,9000000,GK,GK,France,35,Tottenham Hotspur
T. Müller,Thomas Müller,87,63000000,"CAM,CF",CAM,Germany,32,FC Bayern München
De Gea,David De Gea Quintana,87,42000000,GK,GK,Spain,31,Manchester United
M. Verratti,Marco Verratti,87,77500000,"CM,CAM",CM,Italy,29,Paris Saint-Germain
M. Maignan,Mike Maignan,87,80000000,GK,GK,France,26,AC Milan
T. Alexander-Arnold,Trent Alexander-Arnold,87,100500000,RB,CM,England,23,Liverpool
A. Robertson,Andrew Robertson,87,72000000,LB,LB,Scotland,28,Liverpool
K. Koulibaly,Kalidou Koulibaly,87,54500000,CB,CB,Senegal,31,Chelsea
L. Goretzka,Leon Goretzka,87,91000000,"CM,CDM",CM,Germany,27,FC Bayern München
F. de Jong,Frenkie de Jong,87,116500000,CM,CM,Netherlands,25,FC Barcelona
Thiago,Thiago Alcântara,86,55500000,CM,CM,Spain,31,Liverpool
C. Immobile,Ciro Immobile,86,55000000,ST,ST,Italy,32,Lazio
R. Lukaku,Romelu Lukaku,86,68000000,ST,ST,Belgium,29,Inter
D. Alaba,David Alaba,86,55500000,CB,CB,Austria,30,Real Madrid CF
R. Sterling,Raheem Sterling,86,72500000,"LW,RW",LW,England,27,Chelsea
R. Mahrez,Riyad Mahrez,86,56500000,"RW,RM",RW,Algeria,31,Manchester City
P. Dybala,Paulo Dybala,86,69500000,"CF,CAM",CAM,Argentina,28,Roma
Thiago Silva,Thiago Emiliano da Silva,86,12000000,CB,CB,Brazil,37,Chelsea
W. Szczęsny,Wojciech Szczęsny,86,33500000,GK,GK,Poland,32,Juventus
K. Trapp,Kevin Trapp,86,36000000,GK,GK,Germany,31,Eintracht Frankfurt
Bruno Fernandes,Bruno Miguel Borges Fernandes,86,72500000,"CAM,CM",CAM,Portugal,27,Manchester United
Parejo,Daniel Parejo Muñoz,86,42000000,CM,CM,Spain,33,Villarreal CF
A. Laporte,Aymeric Laporte,86,64500000,CB,CB,Spain,28,Manchester City
K. Coman,Kingsley Coman,86,80000000,LM,LM,France,26,FC Bayern München
M. Brozović,Marcelo Brozović,86,58000000,"CDM,CM",CDM,Croatia,29,Inter
N. Barella,Nicolò Barella,86,89500000,CM,CM,Italy,25,Inter
L. Martínez,Lautaro Martínez,86,98500000,ST,ST,Argentina,24,Inter
M. Škriniar,Milan Škriniar,86,68500000,CB,CB,Slovakia,27,Inter
C. Nkunku,Christopher Nkunku,86,94000000,"CF,CAM,ST",CAM,France,24,RB Leipzig
É. Mendy,Édouard Mendy,86,51000000,GK,GK,Senegal,30,Chelsea
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,109000000,LW,LW,Brazil,21,Real Madrid CF
S. Milinković-Savić,Sergej Milinković-Savić,86,77500000,CM,CM,Serbia,27,Lazio
N. Süle,Niklas Süle,85,59000000,"CB,RB",CB,Germany,26,Borussia Dortmund
N. Fekir,Nabil Fekir,85,54500000,CAM,CAM,France,28,Real Betis Balompié
S. Gnabry,Serge Gnabry,85,59000000,RM,RM,Germany,26,FC Bayern München
İ. Gündoğan,İlkay Gündoğan,85,44000000,"CM,CDM",CM,Germany,31,Manchester City
K. Walker,Kyle Walker,85,37500000,RB,RB,England,32,Manchester City
P. Aubameyang,Pierre-Emerick Aubameyang,85,34500000,ST,ST,Gabon,33,Chelsea
Jordi Alba,Jordi Alba Ramos,85,28000000,LB,LB,Spain,33,FC Barcelona
Sergio Busquets,Sergio Busquets Burgos,85,26500000,CDM,CDM,Spain,33,FC Barcelona
Iago Aspas,Iago Aspas Juncal,85,26000000,ST,ST,Spain,34,RC Celta de Vigo
P. Pogba,Paul Pogba,85,52500000,"CM,CDM,LM",CM,France,29,Juventus
M. Depay,Memphis Depay,85,55000000,"CF,ST,LW",CF,Netherlands,28,FC Barcelona
Jorginho,Luiz Frello Filho Jorge,85,51500000,CM,CM,Italy,30,Chelsea
M. Acuña,Marcos Acuña,85,46500000,LB,LB,Argentina,30,Sevilla FC
Gerard Moreno,Gerard Moreno Balagueró,85,53000000,ST,ST,Spain,30,Villarreal CF
Y. Carrasco,Yannick Carrasco,85,54500000,LM,LM,Belgium,28,Atlético de Madrid
F. Kostić,Filip Kostić,85,53000000,"LM,LWB",LM,Serbia,29,Juventus
J. Vardy,Jamie Vardy,85,23000000,ST,ST,England,35,Leicester City
Pedri,Pedro González López,85,116000000,CM,CM,Spain,19,FC Barcelona
P. Foden,Phil Foden,85,109500000,"LW,CF,CAM",CAM,England,22,Manchester City
M. de Ligt,Matthijs de Ligt,85,71000000,CB,CB,Netherlands,22,FC Bayern München
P. Schick,Patrik Schick,85,67500000,ST,ST,Czech Republic,26,Bayer 04 Leverkusen
T. Hernández,Theo Hernández,85,76000000,LB,LWB,France,24,AC Milan
Diogo Jota,Diogo José Teixeira da Silva,85,76000000,"CF,LW",ST,Portugal,25,Liverpool
P. Gulácsi,Péter Gulácsi,85,26500000,GK,GK,Hungary,32,RB Leipzig
Y. Sommer,Yann Sommer,85,17500000,GK,GK,Switzerland,33,Borussia Mönchengladbach
M. Reus,Marco Reus,85,33500000,"CAM,CF,RM",CAM,Germany,33,Borussia Dortmund
L. Hernández,Lucas Hernández,84,46000000,"CB,LB",CB,France,26,FC Bayern München
Sergio Ramos,Sergio Ramos García,84,7500000,CB,CB,Spain,36,Paris Saint-Germain
A. Gómez,Alejandro Gómez,84,20000000,"CAM,LW",CAM,Argentina,34,Sevilla FC
S. Handanovič,Samir Handanovič,84,4700000,GK,GK,Slovenia,37,Inter
D. Mertens,Dries Mertens,84,18000000,"CF,ST,CAM",CF,Belgium,35,Galatasaray SK
L. Suárez,Luis Suárez,84,18000000,ST,ST,Uruguay,35,Club Nacional de Football
D. Tadić,Dušan Tadić,84,26500000,"LW,CF,CAM",LW,Serbia,33,Ajax
D. Berardi,Domenico Berardi,84,45000000,"RM,RW",RM,Italy,27,U.S. Sassuolo Calcio
T. Partey,Thomas Partey,84,36000000,"CDM,CM",CDM,Ghana,29,Arsenal
Y. Bounou,Yassine Bounou,84,22500000,GK,GK,Morocco,31,Sevilla FC
H. Çalhanoğlu,Hakan Çalhanoğlu,84,42000000,CM,CM,Turkey,28,Inter
M. Kovačić,Mateo Kovačić,84,42000000,CM,CM,Croatia,28,Chelsea
J. Grealish,Jack Grealish,84,46000000,"LW,LM,CAM",LW,England,26,Manchester City
Carvajal,Daniel Carvajal Ramos,84,36500000,RB,RB,Spain,30,Real Madrid CF
S. Savić,Stefan Savić,84,29000000,CB,CB,Montenegro,31,Atlético de Madrid
E. Martínez,Emiliano Martínez,84,29000000,GK,GK,Argentina,29,Aston Villa
R. Varane,Raphaël Varane,84,39000000,CB,CB,France,29,Manchester United
W. Ben Yedder,Wissam Ben Yedder,84,35500000,ST,CF,France,31,AS Monaco
L. Insigne,Lorenzo Insigne,84,35000000,"LW,CF,LM",CAM,Italy,31,Toronto FC
M. Hummels,Mats Hummels,84,20000000,"CB,RB,RW",CB,Germany,33,Borussia Dortmund
S. de Vrij,Stefan de Vrij,84,34500000,CB,CB,Netherlands,30,Inter
J. Matip,Joel Matip,84,34500000,CB,CB,Cameroon,30,Liverpool
K. Casteels,Koen Casteels,84,31500000,GK,GK,Belgium,30,VfL Wolfsburg
Canales,Sergio Canales Madrazo,84,35000000,"RM,CAM,CDM",RM,Spain,31,Real Betis Balompié
Muniain,Iker Muniain Goñi,84,41500000,"LM,CAM",LM,Spain,29,Athletic Club de Bilbao
K. Trippier,Kieran Trippier,84,30500000,"RB,RM",RB,England,31,Newcastle United
L. Bonucci,Leonardo Bonucci,84,11000000,CB,CB,Italy,35,Juventus
Á. Di María,Ángel Di María,84,20000000,RW,RW,Argentina,34,Juventus
